reduce: bytes=4294967296 n=1073741824 blksize=256
  Device 0: Tesla V100-PCIE-32GB
    Compute Capability: 7.0
    Total Global Memory: 31.73 GB
    Clock Rate: 1380.00 MHz
    #SM: 80
    Max Threads per SM: 2048
    Max Threads per block: 1024
    #Threads per Warp: 32
Device results
trial, dresult, bytes, n, blksize, read, written, totalbytes, numFOps, ns, sec, Bytes/s, GB/s, FLOP/s, TFLOP/s
0,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,26551057,0.026551,163031298979.923859,163.031299,40440643248.214188,0.040441
1,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23770105,0.023770,182104930205.398773,182.104930,45171942824.821350,0.045172
2,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23695908,0.023696,182675140028.396454,182.675140,45313385923.004089,0.045313
3,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23700623,0.023701,182638798650.989044,182.638799,45304371281.716942,0.045304
4,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23699572,0.023700,182646898095.881226,182.646898,45306380385.266029,0.045306
5,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23701534,0.023702,182631778685.717133,182.631779,45302629947.918137,0.045303
6,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23699375,0.023699,182648416340.093353,182.648416,45306756992.536720,0.045307
7,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23699502,0.023700,182647437570.629120,182.647438,45306514204.391296,0.045307
8,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23699360,0.023699,182648531943.478638,182.648532,45306785668.473747,0.045307
9,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23700482,0.023700,182639885214.148834,182.639885,45304640808.570900,0.045305
10,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23701974,0.023702,182628388335.925110,182.628388,45301788956.481010,0.045302
11,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23703272,0.023703,182618387537.383026,182.618388,45299308213.650841,0.045299
12,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23701738,0.023702,182630206780.616669,182.630207,45302240029.823975,0.045302
13,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23698595,0.023699,182654427910.177795,182.654428,45308248189.396881,0.045308
14,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23699500,0.023699,182647452984.240173,182.647453,45306518027.806496,0.045307
15,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23698177,0.023698,182657649658.030640,182.657650,45309047358.368538,0.045309
16,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23700204,0.023700,182642027553.855652,182.642028,45305172225.521774,0.045305
17,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23700698,0.023701,182638220697.128845,182.638221,45304227917.675674,0.045304
18,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23701617,0.023702,182631139132.827942,182.631139,45302471303.962090,0.045302
19,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23702024,0.023702,182628003076.868042,182.628003,45301693391.247940,0.045302
20,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23700095,0.023700,182642867549.687042,182.642868,45305380590.246574,0.045305
21,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23701259,0.023701,182633897718.260468,182.633898,45303155583.422806,0.045303
22,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23701934,0.023702,182628696544.341064,182.628697,45301865408.957764,0.045302
23,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23704038,0.023704,182612486193.280640,182.612486,45297844358.838776,0.045298
24,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23703422,0.023703,182617231891.665283,182.617232,45299021550.559242,0.045299
25,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23702039,0.023702,182627887499.467865,182.627887,45301664721.756638,0.045302
26,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23703695,0.023704,182615128653.992554,182.615129,45298499833.042908,0.045298
27,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23703462,0.023703,182616923721.944061,182.616924,45298945107.680893,0.045299
28,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23698154,0.023698,182657826934.536774,182.657827,45309091332.599159,0.045309
29,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23700486,0.023700,182639854389.483826,182.639854,45304633162.374817,0.045305
best result:
-1,42.000000,4294967296,1073741824,256,4311810304,16843008,4328653312,1073741824,23695908,0.023696,182675140028.396454,182.675140,45313385923.004089,0.045313
